razão_social,cnpj,público_alvo,mandato,segmento,tipo_de_fundo,prazo_de_duração,tipo_de_gestão,taxa_de_administração,vacância,numero_de_cotistas,cotas_emitidas,val_patrimonial_p_cota,valor_patrimonial,último_rendimento,valor_patrimonial_unidade,papel
ALIANZA CRÉDITO IMOBILIÁRIO FUNDO DE INVESTIMENTO IMOBILIÁRIO,40.011.324/0001-40,Investidor Qualificado,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,1.30,0.00,9474,20050219,9.40,188.39,0.10,Milhões,ALZC11
ALIANZA URBAN HUB RENDA FUNDO DE INVESTIMENTO IMOBILIÁRIO,41.076.823/0001-88,Investidor Qualificado,Renda,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Ativa,1.00,16.00,20,1085769,80.97,87.91,0.31,Milhões,AURB11
ALIANZA TRUST RENDA IMOBILIARIA - FUNDO DE INVESTIMENTO IMOBILIARIO,28.737.771/0001-85,Geral,Renda,Híbrido,Fundo de Tijolo,Indeterminado,Ativa,0.20,0.00,170598,122266239,10.66,1.30,0.08,Bilhão,ALZR11
AJ MALLS,51.472.985/0001-99,Geral,Renda,Shoppings / Varejo,Fundo de Tijolo,Indeterminado,Ativa,,7.01,12535,31625967,12.15,384.21,0.03,Milhões,AJFI11
AF INVEST CRI FUNDO DE INVESTIMENTO IMOBILIÁRIO - RECEBÍVEIS IMOBILIÁRIOS,36.642.293/0001-58,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,1.00,0.00,37808,4555607,94.11,428.74,1.01,Milhões,AFHI11
FUNDO DE INVESTIMENTO IMOBILIÁRIO APEX MALLS,43.010.485/0001-07,Geral,Híbridos,Shoppings / Varejo,Fundo de Tijolo,Indeterminado,Ativa,,0.00,598,2829131,123.57,349.60,0.29,Milhões,APXM11
ARX DOVER RECEBÍVEIS FUNDO DE INVESTIMENTO IMOBILIÁRIO,44.527.494/0001-32,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,1.02,0.00,1766,9011159,9.08,81.78,0.09,Milhões,ARXD11
AROEIRA 333 RENDA LOGÍSTICA,44.674.528/0001-11,Geral,Desenvolvimento para renda,Outros,Fundo de desenvolvimento,Indeterminado,Ativa,,0.00,4947,167926821,0.95,159.76,0.01,Milhões,AROA11
AF INVEST REAL ESTATE MULTIESTRATÉGIA FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA,60.077.386/0001-61,Geral,Híbridos,Híbrido,Fundo misto,Indeterminado,Ativa,0.11,0.00,249,4999989,10.11,50.57,0.13,Milhões,AFHF11
AUTONOMY EDIFÍCIOS CORPORATIVOS FUNDO DE INVESTIMENTO IMOBILIÁRIO,35.765.826/0001-26,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Ativa,0.75,41.00,14817,4824976,79.08,381.56,0.34,Milhões,AIEC11
BANRISUL NOVAS FRONTEIRAS FUNDO DE INVESTIMENTO IMOBILIÁRIO,15.570.431/0001-60,Geral,Desenvolvimento para renda,Agências bancárias,Fundo de Tijolo,Indeterminado,Ativa,0.4,26.90,5836,699989,78.29,54.80,0.85,Milhões,BNFS11
AZ QUEST PANORAMA LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA,51.890.054/0001-00,Geral,Renda,Logístico / Indústria / Galpões,Fundo misto,Indeterminado,Ativa,1.10,0.00,6352,41922678,8.47,355.04,0.08,Milhões,AZPL11
BANESTES RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO,22.219.335/0001-38,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,1.0,0.00,42717,6257862,84.19,526.82,0.92,Milhões,BCRI11
BB FUNDO DE INVESTIMENTO IMOBILIÁRIO PROGRESSIVO,07.000.400/0001-46,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Passiva,3,100.00,5842,129989,685.37,89.10,100.41,Milhões,BBFI11
BB FUNDO DE FUNDOS - FUNDO DE INVESTIMENTO IMOBILIÁRIO,37.180.091/0001-02,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de fundos,Indeterminado,Passiva,0.50,0.00,6925,4003889,74.53,298.43,0.70,Milhões,BBFO11
BB PREMIUM MALLS FUNDO DE INVESTIMENTO IMOBILIÁRIO DE RESPONSABILIDADE LIMITADA,54.375.187/0001-37,Geral,Renda,Shoppings / Varejo,Fundo de Tijolo,Indeterminado,Ativa,0.80,2.50,33964,99120983,9.98,989.40,0.08,Milhões,BBIG11
BB RENDA CORPORATIVA FUNDO DE INVESTIMENTO IMOBILIÁRIO,12.681.340/0001-04,Geral,Desenvolvimento para renda,Agências bancárias,Fundo de Tijolo,Indeterminado,Passiva,0.60,5.60,8533,1589989,105.29,167.41,1.05,Milhões,BBRC11
BLUEMACAW LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO,34.081.637/0001-71,Geral,Renda,Outros,Fundo de Tijolo,Indeterminado,Ativa,0.95,0.00,12869,4674537,71.32,333.39,0.36,Milhões,BLMG11
FUNDO DE INVESTIMENTO IMOBILIÁRIO BM BRASCAN LAJES CORPORATIVAS,14.376.247/0001-11,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Passiva,0.20,0.00,1263,998394,105.83,105.66,0.68,Milhões,BMLC11
BRAZILIAN GRAVEYARD DEATH CARE FDO INV IMOB - FII,13.584.584/0001-31,Geral,Títulos e valores mobiliários,Híbrido,Fundo misto,Indeterminado,Ativa,1.60,0.00,11708,35769908,6.98,249.54,0.01,Milhões,CARE11
